type,start_time,ambient_temperature,battery_id,test_id,uid,filename,Capacity,Re,Rct
discharge,[2009.       6.      19.      17.      18.      16.015],24,B0036,0,3514,03514.csv,1.001982588175331,,
impedance,[2009.       6.      19.      17.      54.      12.968],24,B0036,1,3515,03515.csv,,0.10545822995255894,0.14876911753412897
charge,[2009.      6.     19.     18.     25.     58.64],24,B0036,2,3516,03516.csv,,,
impedance,[2009.       6.      19.      21.      31.       7.671],24,B0036,3,3517,03517.csv,,0.10298675265936502,0.1308088982207626
discharge,[2.0090e+03 6.0000e+00 1.9000e+01 2.2000e+01 2.0000e+00 5.0609e+01],24,B0036,4,3518,03518.csv,1.8011007566288924,,
charge,[2009.       6.      19.      22.      58.      30.843],24,B0036,5,3519,03519.csv,,,
discharge,[2.009e+03 6.000e+00 2.000e+01 1.000e+00 5.900e+01 3.975e+01],24,B0036,6,3520,03520.csv,1.8044229856020628,,
charge,[2.0090e+03 6.0000e+00 2.0000e+01 2.0000e+00 5.5000e+01 2.5265e+01],24,B0036,7,3521,03521.csv,,,
discharge,[2009.       6.      20.       5.      55.      38.984],24,B0036,8,3522,03522.csv,1.804388833772829,,
charge,[2009.       6.      20.       6.      51.      23.171],24,B0036,9,3523,03523.csv,,,
discharge,[2009.       6.      20.       9.      50.      35.156],24,B0036,10,3524,03524.csv,1.7989248871784247,,
charge,[2009.       6.      20.      10.      46.       8.984],24,B0036,11,3525,03525.csv,,,
discharge,[2009.       6.      20.      13.      47.      19.156],24,B0036,12,3526,03526.csv,1.792996521672392,,
impedance,[2009.       6.      20.      14.      46.      42.328],24,B0036,13,3527,03527.csv,,0.10188244020315304,0.1374624484507808
charge,[2009.       6.      20.      15.      18.      25.765],24,B0036,14,3528,03528.csv,,,
impedance,[2009.       6.      20.      18.      23.      38.703],24,B0036,15,3529,03529.csv,,0.10126095415876296,0.12915983066943287
discharge,[2009.       6.      20.      18.      55.      22.281],24,B0036,16,3530,03530.csv,1.7885507985621891,,
charge,[2009.       6.      20.      19.      50.      37.765],24,B0036,17,3531,03531.csv,,,
discharge,[2009.       6.      20.      22.      51.      49.984],24,B0036,18,3532,03532.csv,1.7890856930727703,,
charge,[2009.       6.      20.      23.      47.       6.421],24,B0036,19,3533,03533.csv,,,
discharge,[2.0090e+03 6.0000e+00 2.1000e+01 2.0000e+00 4.8000e+01 2.0078e+01],24,B0036,20,3534,03534.csv,1.7893137312833287,,
charge,[2009.       6.      21.       3.      43.      37.421],24,B0036,21,3535,03535.csv,,,
discharge,[2009.       6.      21.       6.      44.      49.843],24,B0036,22,3536,03536.csv,1.7860759459480868,,
charge,[2.009e+03 6.000e+00 2.100e+01 7.000e+00 4.000e+01 1.625e+00],24,B0036,23,3537,03537.csv,,,
discharge,[2009.       6.      21.      10.      41.      15.046],24,B0036,24,3538,03538.csv,1.7836324249650817,,
impedance,[2009.       6.      21.      11.      40.      22.859],24,B0036,25,3539,03539.csv,,0.10146757851010482,0.13474116799238026
charge,[2009.       6.      21.      12.      12.       7.046],24,B0036,26,3540,03540.csv,,,
impedance,[2009.       6.      21.      15.      17.      21.453],24,B0036,27,3541,03541.csv,,0.10139314834664595,0.12638934825771755
discharge,[2009.       6.      21.      15.      49.       5.796],24,B0036,28,3542,03542.csv,1.7829728738072719,,
charge,[2009.       6.      21.      16.      44.      12.312],24,B0036,29,3543,03543.csv,,,
