type,start_time,ambient_temperature,battery_id,test_id,uid,filename,Capacity,Re,Rct
charge,[2.0080e+03 4.0000e+00 2.0000e+00 1.3000e+01 8.0000e+00 1.7921e+01],24,B0007,0,5737,05737.csv,,,
discharge,[2.0080e+03 4.0000e+00 2.0000e+00 1.5000e+01 2.5000e+01 4.1593e+01],24,B0007,1,5738,05738.csv,1.89105229539079,,
charge,[2.0080e+03 4.0000e+00 2.0000e+00 1.6000e+01 3.7000e+01 5.1984e+01],24,B0007,2,5739,05739.csv,,,
discharge,[2.0080e+03 4.0000e+00 2.0000e+00 1.9000e+01 4.3000e+01 4.8406e+01],24,B0007,3,5740,05740.csv,1.880637027686859,,
charge,[2.0080e+03 4.0000e+00 2.0000e+00 2.0000e+01 5.5000e+01 4.0812e+01],24,B0007,4,5741,05741.csv,,,
discharge,[2.008e+03 4.000e+00 3.000e+00 0.000e+00 1.000e+00 6.687e+00],24,B0007,5,5742,05742.csv,1.8806626717011388,,
charge,[2.0080e+03 4.0000e+00 3.0000e+00 1.0000e+00 1.2000e+01 3.8671e+01],24,B0007,6,5743,05743.csv,,,
discharge,[2008.       4.       3.       4.      16.      37.375],24,B0007,7,5744,05744.csv,1.8807709009833444,,
charge,[2008.       4.       3.       5.      27.      49.125],24,B0007,8,5745,05745.csv,,,
discharge,[2008.       4.       3.       8.      33.      25.703],24,B0007,9,5746,05746.csv,1.8794508728285058,,
charge,[2008.       4.       3.       9.      44.      35.078],24,B0007,10,5747,05747.csv,,,
discharge,[2008.       4.       3.      12.      55.      10.687],24,B0007,11,5748,05748.csv,1.8807003517117404,,
charge,[2008.       4.       3.      14.       6.      43.234],24,B0007,12,5749,05749.csv,,,
discharge,[2008.       4.       3.      17.      17.      16.015],24,B0007,13,5750,05750.csv,1.8799352523566075,,
charge,[2008.       4.       3.      18.      28.      47.125],24,B0007,14,5751,05751.csv,,,
discharge,[2008.       4.       3.      21.      28.      14.718],24,B0007,15,5752,05752.csv,1.8815088124038797,,
charge,[2008.       4.       3.      22.      38.      27.453],24,B0007,16,5753,05753.csv,,,
discharge,[2.0080e+03 4.0000e+00 4.0000e+00 1.0000e+00 3.8000e+01 1.5218e+01],24,B0007,17,5754,05754.csv,1.8696907870385844,,
charge,[2.008e+03 4.000e+00 4.000e+00 2.000e+00 4.800e+01 6.156e+00],24,B0007,18,5755,05755.csv,,,
discharge,[2008.       4.       4.       5.      48.       8.609],24,B0007,19,5756,05756.csv,1.870052380139199,,
charge,[2.008e+03 4.000e+00 4.000e+00 6.000e+00 5.800e+01 2.960e-01],24,B0007,20,5757,05757.csv,,,
discharge,[2008.       4.       4.       9.      57.      19.765],24,B0007,21,5758,05758.csv,1.8700442394188577,,
charge,[2008.       4.       4.      11.       6.      50.375],24,B0007,22,5759,05759.csv,,,
charge,[2008.       4.       4.      15.       5.      59.906],24,B0007,23,5760,05760.csv,,,
discharge,[2008.       4.       4.      17.      56.      27.609],24,B0007,24,5761,05761.csv,1.8596518987766364,,
charge,[2008.       4.       4.      19.       5.      19.234],24,B0007,25,5762,05762.csv,,,
discharge,[2.0080e+03 4.0000e+00 4.0000e+00 2.2000e+01 1.0000e+00 5.4671e+01],24,B0007,26,5763,05763.csv,1.8590746560862206,,
charge,[2008.       4.       4.      23.      10.      25.421],24,B0007,27,5764,05764.csv,,,
discharge,[2.0080e+03 4.0000e+00 5.0000e+00 2.0000e+00 2.0000e+01 2.6703e+01],24,B0007,28,5765,05765.csv,1.8590084577709232,,
charge,[2008.       4.       5.       3.      28.      57.234],24,B0007,29,5766,05766.csv,,,
discharge,[2.008e+03 4.000e+00 5.000e+00 6.000e+00 2.500e+01 1.890e+00],24,B0007,30,5767,05767.csv,1.8593622586957048,,
charge,[2008.       4.       5.       7.      33.      12.734],24,B0007,31,5768,05768.csv,,,
discharge,[2008.       4.       5.      10.      30.      32.312],24,B0007,32,5769,05769.csv,1.8587355450601035,,
charge,[2008.      4.      5.     11.     38.     22.14],24,B0007,33,5770,05770.csv,,,
discharge,[2008.       4.       5.      14.      34.      41.468],24,B0007,34,5771,05771.csv,1.847817291322145,,
charge,[2008.       4.       5.      15.      42.      11.531],24,B0007,35,5772,05772.csv,,,
discharge,[2008.       4.       5.      18.      39.      25.218],24,B0007,36,5773,05773.csv,1.8485252916137047,,
charge,[2008.       4.       5.      19.      46.      36.125],24,B0007,37,5774,05774.csv,,,
discharge,[2008.       4.       5.      22.      46.      35.484],24,B0007,38,5775,05775.csv,1.848378951850034,,
charge,[2008.      4.     18.     17.     34.     22.89],24,B0007,39,5776,05776.csv,,,
impedance,[2008.       4.      18.      20.      55.      29.859],24,B0007,40,5777,05777.csv,,0.03816813609946085,0.06158094574229446
discharge,[2008.       4.      18.      21.      10.      19.796],24,B0007,41,5778,05778.csv,1.8807805437609766,,
impedance,[2008.       4.      18.      22.      39.      16.312],24,B0007,42,5779,05779.csv,,0.042352200255114755,0.07946205744298855
charge,[2008.       4.      18.      22.      53.      58.343],24,B0007,43,5780,05780.csv,,,
impedance,[2.0080e+03 4.0000e+00 1.9000e+01 2.0000e+00 1.4000e+01 2.7015e+01],24,B0007,44,5781,05781.csv,,0.03971312292013592,0.06180654339682964
discharge,[2008    4   19    2   29    9],24,B0007,45,5782,05782.csv,1.8814721597443598,,
impedance,[2008.       4.      19.       3.      57.      24.187],24,B0007,46,5783,05783.csv,,0.04171928239305599,0.08085099253522705
charge,[2008.       4.      19.       4.      12.       6.343],24,B0007,47,5784,05784.csv,,,
impedance,[2008.       4.      19.       7.      32.      33.656],24,B0007,48,5785,05785.csv,,0.03840146399106517,0.06100130384680727
discharge,[2008.       4.      19.       7.      47.      15.703],24,B0007,49,5786,05786.csv,1.8810954313244785,,
impedance,[2008.       4.      19.       9.      15.      10.453],24,B0007,50,5787,05787.csv,,0.041725543288745344,0.07324252372827775
charge,[2008.       4.      19.       9.      29.      52.703],24,B0007,51,5788,05788.csv,,,
impedance,[2.008e+03 4.000e+00 1.900e+01 1.200e+01 4.700e+01 4.210e-01],24,B0007,52,5789,05789.csv,,0.0371051772037323,0.06007565108189894
discharge,[2.0080e+03 4.0000e+00 1.9000e+01 1.3000e+01 1.0000e+00 4.2562e+01],24,B0007,53,5790,05790.csv,1.8710089649779995,,
impedance,[2008.       4.      19.      14.      28.      58.984],24,B0007,54,5791,05791.csv,,0.039929523505293565,0.07752548996987343
charge,[2008.       4.      19.      14.      43.      41.265],24,B0007,55,5792,05792.csv,,,
impedance,[2008.       4.      19.      18.      12.      47.531],24,B0007,56,5793,05793.csv,,0.037833946033938984,0.061293760421866045
discharge,[2008.       4.      19.      18.      27.      29.828],24,B0007,57,5794,05794.csv,1.8701995151941375,,
impedance,[2008.       4.      19.      19.      55.       5.296],24,B0007,58,5795,05795.csv,,0.040868280768717374,0.07683869552898764
charge,[2008.      4.     19.     20.      9.     47.75],24,B0007,59,5796,05796.csv,,,
impedance,[2008.       4.      19.      23.      27.      13.343],24,B0007,60,5797,05797.csv,,0.037520425405365855,0.060073134186248135
discharge,[2008.       4.      19.      23.      41.      55.687],24,B0007,61,5798,05798.csv,1.8706715362800985,,
impedance,[2.0080e+03 4.0000e+00 2.0000e+01 1.0000e+00 8.0000e+00 1.1406e+01],24,B0007,62,5799,05799.csv,,0.04169865656080958,0.0720729677827527
charge,[2.0080e+03 4.0000e+00 2.0000e+01 1.0000e+00 2.2000e+01 5.3953e+01],24,B0007,63,5800,05800.csv,,,
impedance,[2008.       4.      20.       4.      39.      59.296],24,B0007,64,5801,05801.csv,,0.03739727137150672,0.0612330724542185
discharge,[2008.       4.      20.       4.      54.      41.734],24,B0007,65,5802,05802.csv,1.8596124644020169,,
impedance,[2008.       4.      20.       6.      20.      57.125],24,B0007,66,5803,05803.csv,,0.03998676920342006,0.07363674363826805
charge,[2008.       4.      20.       6.      35.      39.765],24,B0007,67,5804,05804.csv,,,
impedance,[2.0080e+03 4.0000e+00 2.0000e+01 1.0000e+01 1.0000e+00 4.6156e+01],24,B0007,68,5805,05805.csv,,0.03591968009886427,0.06057069111701671
discharge,[2008.       4.      20.      10.      16.      28.859],24,B0007,69,5806,05806.csv,1.860033909718346,,
impedance,[2008.       4.      20.      11.      42.      26.062],24,B0007,70,5807,05807.csv,,0.04146824914736063,0.06954303801749961
charge,[2008.       4.      20.      11.      57.       8.765],24,B0007,71,5808,05808.csv,,,
impedance,[2008.      4.     20.     15.     22.     22.64],24,B0007,72,5809,05809.csv,,0.03738579892114978,0.06131737602920535
discharge,[2008.       4.      20.      15.      37.       5.281],24,B0007,73,5810,05810.csv,1.8591653109160768,,
impedance,[2.008e+03 4.000e+00 2.000e+01 1.700e+01 3.000e+00 1.140e+00],24,B0007,74,5811,05811.csv,,0.040910536950841486,0.06973813181143433
charge,[2008.       4.      20.      17.      17.      44.031],24,B0007,75,5812,05812.csv,,,
impedance,[2008.       4.      20.      20.      35.      56.187],24,B0007,76,5813,05813.csv,,0.03789058841967389,0.06032875855026001
discharge,[2008.       4.      20.      20.      50.      38.921],24,B0007,77,5814,05814.csv,1.8481398178778288,,
impedance,[2008.       4.      20.      22.      16.      35.078],24,B0007,78,5815,05815.csv,,0.040097248859574955,0.07288145197811349
charge,[2008.       4.      20.      22.      31.      18.046],24,B0007,79,5816,05816.csv,,,
impedance,[2.0080e+03 4.0000e+00 2.1000e+01 2.0000e+00 0.0000e+00 1.9968e+01],24,B0007,80,5817,05817.csv,,0.03715722957533256,0.06103479269674707
discharge,[2.008e+03 4.000e+00 2.100e+01 2.000e+00 1.500e+01 2.921e+00],24,B0007,81,5818,05818.csv,1.849201702126164,,
impedance,[2008.       4.      21.       3.      26.      58.453],24,B0007,82,5819,05819.csv,,0.04119201955867326,0.06848356653346994
charge,[2008.       4.      21.      17.      51.      26.312],24,B0007,83,5820,05820.csv,,,
charge,[2008.       4.      22.      14.      15.      41.187],24,B0007,84,5821,05821.csv,,,
discharge,[2008.       4.      22.      15.      33.      49.875],24,B0007,85,5822,05822.csv,1.8834677437950846,,
impedance,[2008.       4.      22.      16.      33.       3.953],24,B0007,86,5823,05823.csv,,0.04105669646645134,0.07065997133250308
charge,[2008.       4.      22.      17.       4.      53.218],24,B0007,87,5824,05824.csv,,,
impedance,[2008.       4.      22.      19.      54.      32.265],24,B0007,88,5825,05825.csv,,0.041759405414555945,0.06445608820977453
discharge,[2008.       4.      22.      20.      26.      18.921],24,B0007,89,5826,05826.csv,1.8628211117905844,,
impedance,[2008.       4.      22.      21.      24.      34.484],24,B0007,90,5827,05827.csv,,0.04119459773687198,0.07022095542831697
charge,[2008.       4.      22.      21.      56.      21.406],24,B0007,91,5828,05828.csv,,,
impedance,[2008.       4.      23.       0.      46.      24.921],24,B0007,92,5829,05829.csv,,0.04232704798626884,0.06414150947613172
discharge,[2.0080e+03 4.0000e+00 2.3000e+01 1.0000e+00 1.8000e+01 1.1796e+01],24,B0007,93,5830,05830.csv,1.852085039652352,,
impedance,[2.008e+03 4.000e+00 2.300e+01 2.000e+00 1.600e+01 8.578e+00],24,B0007,94,5831,05831.csv,,0.03996874022966617,0.06812474119697177
charge,[2.0080e+03 4.0000e+00 2.3000e+01 2.0000e+00 4.7000e+01 5.5453e+01],24,B0007,95,5832,05832.csv,,,
impedance,[2008.      4.     23.      5.     46.     32.89],24,B0007,96,5833,05833.csv,,0.03967286398299121,0.06333755034552216
discharge,[2008.       4.      23.       6.      18.      19.921],24,B0007,97,5834,05834.csv,1.8469504648208708,,
impedance,[2008.       4.      23.       7.      16.       7.671],24,B0007,98,5835,05835.csv,,0.03979410788978178,0.06877945536158117
charge,[2008.       4.      23.       7.      47.      54.718],24,B0007,99,5836,05836.csv,,,
impedance,[2008.       4.      23.      10.      36.      13.156],24,B0007,100,5837,05837.csv,,0.04046536725285732,0.06397225205950727
discharge,[2.008e+03 4.000e+00 2.300e+01 1.100e+01 8.000e+00 3.120e-01],24,B0007,101,5838,05838.csv,1.836828431169018,,
impedance,[2008.       4.      23.      12.       5.      30.437],24,B0007,102,5839,05839.csv,,0.04093901824195282,0.06675223084774302
charge,[2008.       4.      23.      12.      37.      17.515],24,B0007,103,5840,05840.csv,,,
impedance,[2008.       4.      23.      15.      34.      37.843],24,B0007,104,5841,05841.csv,,0.04083099544598788,0.06292223531520325
discharge,[2008.       4.      23.      16.       6.      25.171],24,B0007,105,5842,05842.csv,1.8371619619672275,,
impedance,[2008.       4.      23.      17.       3.      55.484],24,B0007,106,5843,05843.csv,,0.041067363565729334,0.0662850303940424
charge,[2008.       4.      23.      17.      35.      42.828],24,B0007,107,5844,05844.csv,,,
impedance,[2008.      4.     23.     20.     31.     10.75],24,B0007,108,5845,05845.csv,,0.04078701229987664,0.06338858492819599
discharge,[2.0080e+03 4.0000e+00 2.3000e+01 2.1000e+01 2.0000e+00 5.8296e+01],24,B0007,109,5846,05846.csv,1.8316722583718854,,
impedance,[2008.       4.      23.      22.       0.      19.218],24,B0007,110,5847,05847.csv,,0.041661708894818184,0.06816357758679417
charge,[2008.       4.      23.      22.      32.       6.671],24,B0007,111,5848,05848.csv,,,
impedance,[2.0080e+03 4.0000e+00 2.4000e+01 1.0000e+00 1.9000e+01 4.6171e+01],24,B0007,112,5849,05849.csv,,0.03981735939635393,0.06446689612483536
discharge,[2.008e+03 4.000e+00 2.400e+01 1.000e+00 5.100e+01 3.389e+01],24,B0007,113,5850,05850.csv,1.8211470951317783,,
impedance,[2.0080e+03 4.0000e+00 2.4000e+01 2.0000e+00 4.8000e+01 3.5687e+01],24,B0007,114,5851,05851.csv,,0.040333531003242,0.06552022262244311
charge,[2008.       4.      24.       3.      20.      23.359],24,B0007,115,5852,05852.csv,,,
impedance,[2008.       4.      24.       6.      18.      12.171],24,B0007,116,5853,05853.csv,,0.03879098770177327,0.06280987925671022
discharge,[2.008e+03 4.000e+00 2.400e+01 6.000e+00 5.000e+01 3.100e-02],24,B0007,117,5854,05854.csv,1.816506091511515,,
impedance,[2008.       4.      24.       7.      46.      53.906],24,B0007,118,5855,05855.csv,,0.039800320946257906,0.06501329487260551
charge,[2008.       4.      24.       8.      18.      41.703],24,B0007,119,5856,05856.csv,,,
impedance,[2008.       4.      24.      11.      17.      36.359],24,B0007,120,5857,05857.csv,,0.04135849902166442,0.06409309629130175
discharge,[2008.       4.      24.      11.      49.      24.281],24,B0007,121,5858,05858.csv,1.8113815601504555,,
impedance,[2008.       4.      24.      12.      46.       8.171],24,B0007,122,5859,05859.csv,,0.04068161380288319,0.06480202845662458
charge,[2008.      4.     24.     13.     17.     56.25],24,B0007,123,5860,05860.csv,,,
impedance,[2008.       4.      24.      16.      14.       7.906],24,B0007,124,5861,05861.csv,,0.04198813216408782,0.06290743673977844
discharge,[2008.       4.      24.      16.      45.      56.015],24,B0007,125,5862,05862.csv,1.8116056333939583,,
impedance,[2008.       4.      24.      17.      42.      40.796],24,B0007,126,5863,05863.csv,,0.04069176276675313,0.06403224799847893
